run_id,target_task_id,split,condition,source_set_id,routing_decision,memory_attached,em,f1,token_usage,failure_status,note
r1_no_memory_wiki_dev_8896_relevant,wiki_dev_8896,relevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,697,ok,
r1_no_memory_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,697,ok,
r1_episodic_trace_wiki_dev_8896_relevant,wiki_dev_8896,relevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1623,ok,
r1_cross_episode_consolidation_wiki_dev_8896_relevant,wiki_dev_8896,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,1408,ok,
r1_episodic_trace_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,1527,ok,
r1_cross_episode_consolidation_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1395,ok,
r1_no_memory_wiki_dev_0092_relevant,wiki_dev_0092,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,875,ok,
r1_no_memory_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,875,ok,
r1_episodic_trace_wiki_dev_0092_relevant,wiki_dev_0092,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1702,ok,
r1_cross_episode_consolidation_wiki_dev_0092_relevant,wiki_dev_0092,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1572,ok,
r1_episodic_trace_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1800,ok,
r1_cross_episode_consolidation_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1583,ok,
r1_no_memory_wiki_dev_10378_relevant,wiki_dev_10378,relevant,no_memory,hp_bridge_set_01,n/a,false,1,1.0,874,ok,
r1_no_memory_wiki_dev_10378_irrelevant,wiki_dev_10378,irrelevant,no_memory,hp_comparison_set_01,n/a,false,1,1.0,874,ok,
r1_episodic_trace_wiki_dev_10378_relevant,wiki_dev_10378,relevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,1702,ok,
r1_cross_episode_consolidation_wiki_dev_10378_relevant,wiki_dev_10378,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,1,1.0,1572,ok,
r1_episodic_trace_wiki_dev_10378_irrelevant,wiki_dev_10378,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,1,1.0,1800,ok,
r1_cross_episode_consolidation_wiki_dev_10378_irrelevant,wiki_dev_10378,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,1583,ok,
r1_no_memory_wiki_dev_7019_relevant,wiki_dev_7019,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,1161,ok,
r1_no_memory_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,1161,ok,
r1_episodic_trace_wiki_dev_7019_relevant,wiki_dev_7019,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1989,ok,
r1_cross_episode_consolidation_wiki_dev_7019_relevant,wiki_dev_7019,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1859,ok,
r1_episodic_trace_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,2087,ok,
r1_cross_episode_consolidation_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1870,ok,
r1_no_memory_wiki_dev_0123_relevant,wiki_dev_0123,relevant,no_memory,hp_comparison_set_01,n/a,false,1,1.0,1903,ok,
r1_no_memory_wiki_dev_0123_irrelevant,wiki_dev_0123,irrelevant,no_memory,hp_bridge_set_01,n/a,false,1,1.0,1903,ok,
r1_episodic_trace_wiki_dev_0123_relevant,wiki_dev_0123,relevant,episodic_trace,hp_comparison_set_01,n/a,true,1,1.0,2829,ok,
r1_cross_episode_consolidation_wiki_dev_0123_relevant,wiki_dev_0123,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,2612,ok,
r1_episodic_trace_wiki_dev_0123_irrelevant,wiki_dev_0123,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,2731,ok,
r1_cross_episode_consolidation_wiki_dev_0123_irrelevant,wiki_dev_0123,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,1,1.0,2601,ok,
r1_no_memory_wiki_dev_10727_relevant,wiki_dev_10727,relevant,no_memory,hp_comparison_set_01,n/a,false,1,1.0,748,ok,
r1_no_memory_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,no_memory,hp_bridge_set_01,n/a,false,1,1.0,748,ok,
r1_episodic_trace_wiki_dev_10727_relevant,wiki_dev_10727,relevant,episodic_trace,hp_comparison_set_01,n/a,true,1,1.0,1674,ok,
r1_cross_episode_consolidation_wiki_dev_10727_relevant,wiki_dev_10727,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,1457,ok,
r1_episodic_trace_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,1576,ok,
r1_cross_episode_consolidation_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,1,1.0,1446,ok,
r1_no_memory_wiki_dev_12298_relevant,wiki_dev_12298,relevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,989,ok,
r1_no_memory_wiki_dev_12298_irrelevant,wiki_dev_12298,irrelevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,989,ok,
r1_episodic_trace_wiki_dev_12298_relevant,wiki_dev_12298,relevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1915,ok,
r1_cross_episode_consolidation_wiki_dev_12298_relevant,wiki_dev_12298,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1698,ok,
r1_episodic_trace_wiki_dev_12298_irrelevant,wiki_dev_12298,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1817,ok,
r1_cross_episode_consolidation_wiki_dev_12298_irrelevant,wiki_dev_12298,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1687,ok,
r1_no_memory_wiki_dev_2639_relevant,wiki_dev_2639,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,1780,ok,
r1_no_memory_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,1780,ok,
r1_episodic_trace_wiki_dev_2639_relevant,wiki_dev_2639,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,2608,ok,
r1_cross_episode_consolidation_wiki_dev_2639_relevant,wiki_dev_2639,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,2469,ok,
r1_episodic_trace_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,2706,ok,
r1_cross_episode_consolidation_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,2485,ok,
r1_no_memory_wiki_dev_6083_relevant,wiki_dev_6083,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,779,ok,
r1_no_memory_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,779,ok,
r1_episodic_trace_wiki_dev_6083_relevant,wiki_dev_6083,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1607,ok,
r1_cross_episode_consolidation_wiki_dev_6083_relevant,wiki_dev_6083,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1477,ok,
r1_episodic_trace_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1705,ok,
r1_cross_episode_consolidation_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1488,ok,
r1_no_memory_wiki_dev_1379_relevant,wiki_dev_1379,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.2222,1458,ok,
r1_no_memory_wiki_dev_1379_irrelevant,wiki_dev_1379,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.2222,1458,ok,
r1_episodic_trace_wiki_dev_1379_relevant,wiki_dev_1379,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.2222,2286,ok,
r1_cross_episode_consolidation_wiki_dev_1379_relevant,wiki_dev_1379,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.2222,2156,ok,
r1_episodic_trace_wiki_dev_1379_irrelevant,wiki_dev_1379,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.2222,2384,ok,
r1_cross_episode_consolidation_wiki_dev_1379_irrelevant,wiki_dev_1379,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.2222,2167,ok,
