run_id,target_task_id,split,condition,source_set_id,memory_attached,em,f1,token_usage,failure_status,reasoning_present,final_answer_present,memory_reference_type,parse_success
r1b_no_memory_wiki_dev_8896_relevant,wiki_dev_8896,relevant,no_memory,hp_comparison_set_01,false,1,1.0,851,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,no_memory,hp_bridge_set_01,false,1,1.0,851,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_8896_relevant,wiki_dev_8896,relevant,episodic_trace,hp_comparison_set_01,true,1,1.0,1799,ok,1,1,explicit_use,1
r1b_episodic_trace_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,episodic_trace,hp_bridge_set_01,true,1,1.0,1702,ok,1,1,explicit_reject,1
r1b_cross_episode_consolidation_wiki_dev_8896_relevant,wiki_dev_8896,relevant,cross_episode_consolidation,hp_comparison_set_01,true,1,1.0,1592,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,cross_episode_consolidation,hp_bridge_set_01,true,1,1.0,1576,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_0092_relevant,wiki_dev_0092,relevant,no_memory,hp_bridge_set_01,false,0,0.0,968,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,no_memory,hp_comparison_set_01,false,0,0.0,968,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_0092_relevant,wiki_dev_0092,relevant,episodic_trace,hp_bridge_set_01,true,0,0.0,1797,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,episodic_trace,hp_comparison_set_01,true,0,0.0,1957,ok,1,1,explicit_use,1
r1b_cross_episode_consolidation_wiki_dev_0092_relevant,wiki_dev_0092,relevant,cross_episode_consolidation,hp_bridge_set_01,true,0,0.0,1731,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,cross_episode_consolidation,hp_comparison_set_01,true,0,0.0,1770,ok,1,1,explicit_reject,1
r1b_no_memory_wiki_dev_7019_relevant,wiki_dev_7019,relevant,no_memory,hp_bridge_set_01,false,0,0.5,1310,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,no_memory,hp_comparison_set_01,false,0,0.5,1310,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_7019_relevant,wiki_dev_7019,relevant,episodic_trace,hp_bridge_set_01,true,0,0.0,2140,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,episodic_trace,hp_comparison_set_01,true,0,0.0,2280,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_7019_relevant,wiki_dev_7019,relevant,cross_episode_consolidation,hp_bridge_set_01,true,0,0.5455,2037,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,cross_episode_consolidation,hp_comparison_set_01,true,1,1.0,2095,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_10727_relevant,wiki_dev_10727,relevant,no_memory,hp_comparison_set_01,false,1,1.0,865,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,no_memory,hp_bridge_set_01,false,1,1.0,865,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_10727_relevant,wiki_dev_10727,relevant,episodic_trace,hp_comparison_set_01,true,1,1.0,1823,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,episodic_trace,hp_bridge_set_01,true,1,1.0,1727,ok,1,1,explicit_use,1
r1b_cross_episode_consolidation_wiki_dev_10727_relevant,wiki_dev_10727,relevant,cross_episode_consolidation,hp_comparison_set_01,true,1,1.0,1596,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,cross_episode_consolidation,hp_bridge_set_01,true,1,1.0,1593,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_2639_relevant,wiki_dev_2639,relevant,no_memory,hp_bridge_set_01,false,1,1.0,1906,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,no_memory,hp_comparison_set_01,false,1,1.0,1906,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_2639_relevant,wiki_dev_2639,relevant,episodic_trace,hp_bridge_set_01,true,0,0.0,2851,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,episodic_trace,hp_comparison_set_01,true,0,0.0,2927,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_2639_relevant,wiki_dev_2639,relevant,cross_episode_consolidation,hp_bridge_set_01,true,0,0.0,2746,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,cross_episode_consolidation,hp_comparison_set_01,true,1,1.0,2645,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_6083_relevant,wiki_dev_6083,relevant,no_memory,hp_bridge_set_01,false,0,0.0,885,ok,1,1,implicit_or_none,1
r1b_no_memory_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,no_memory,hp_comparison_set_01,false,0,0.0,885,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_6083_relevant,wiki_dev_6083,relevant,episodic_trace,hp_bridge_set_01,true,0,0.0,1804,ok,1,1,implicit_or_none,1
r1b_episodic_trace_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,episodic_trace,hp_comparison_set_01,true,0,0.0,1848,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_6083_relevant,wiki_dev_6083,relevant,cross_episode_consolidation,hp_bridge_set_01,true,0,0.0,1614,ok,1,1,implicit_or_none,1
r1b_cross_episode_consolidation_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,cross_episode_consolidation,hp_comparison_set_01,true,0,0.0,1645,ok,1,1,implicit_or_none,1
